ID,Player,Team,Date,Opp,Fantasy_Score,predictions_2019
310,Irving,Boston Celtics,10/20/2018,NYK,16,29.37487446
311,Irving,Boston Celtics,10/22/2018,ORL,26,26.44247817
312,Irving,Boston Celtics,10/25/2018,OKC,19,26.68845192
313,Irving,Boston Celtics,10/27/2018,DET,5,27.34329473
314,Irving,Boston Celtics,10/30/2018,DET,39,27.486
315,Irving,Boston Celtics,11/1/2018,MIL,40,31.61319048
316,Irving,Boston Celtics,11/3/2018,IND,26,27.97823214
317,Irving,Boston Celtics,11/5/2018,DEN,39,31.27677092
318,Irving,Boston Celtics,11/8/2018,PHO,51,25.96789444
319,Irving,Boston Celtics,11/11/2018,POR,27,31.98009722
320,Irving,Boston Celtics,11/14/2018,CHI,19,28.65629878
321,Irving,Boston Celtics,11/16/2018,TOR,49,27.81833492
322,Irving,Boston Celtics,11/17/2018,UTA,22,30.27065512
323,Irving,Boston Celtics,11/19/2018,CHO,29,26.89576353
324,Irving,Boston Celtics,11/21/2018,NYK,26,27.59880754
325,Irving,Boston Celtics,11/23/2018,ATL,19,28.17912063
326,Irving,Boston Celtics,11/24/2018,DAL,19,27.22370076
327,Irving,Boston Celtics,11/26/2018,NOP,36,24.7857518
328,Irving,Boston Celtics,11/30/2018,CLE,39,28.04720833
329,Irving,Boston Celtics,12/1/2018,MIN,25,29.40287121
330,Irving,Boston Celtics,12/6/2018,NYK,28,31.65808113
331,Irving,Boston Celtics,12/8/2018,CHI,17,27.63400649
332,Irving,Boston Celtics,12/12/2018,WAS,46,28.25741613
333,Irving,Boston Celtics,12/14/2018,ATL,32,27.90566396
334,Irving,Boston Celtics,12/15/2018,DET,30,25.87615314
335,Irving,Boston Celtics,12/19/2018,PHO,37,25.29362698
336,Irving,Boston Celtics,12/21/2018,MIL,17,28.93635714
337,Irving,Boston Celtics,12/23/2018,CHO,33,25.78310859
338,Irving,Boston Celtics,12/25/2018,PHI,50,29.02967911
339,Irving,Boston Celtics,12/27/2018,HOU,27,26.94152864
340,Irving,Boston Celtics,12/29/2018,MEM,30,31.07604798
341,Irving,Boston Celtics,12/31/2018,SAS,18,29.36974563
342,Irving,Boston Celtics,1/7/2019,BRK,19,30.62493434
343,Irving,Boston Celtics,1/9/2019,IND,14,25.79114881
344,Irving,Boston Celtics,1/10/2019,MIA,26,28.19172758
345,Irving,Boston Celtics,1/12/2019,ORL,25,28.01874359
346,Irving,Boston Celtics,1/16/2019,TOR,33,23.12543106
347,Irving,Boston Celtics,1/18/2019,MEM,46,27.76323214
